2024-07-30 21:23:25 status installed krb5-locales:all 1.20.1-2+deb12u2
2024-07-30 21:23:25 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2024-07-30 21:23:25 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 configure libx11-data:all 2:1.8.4-2+deb12u2 <none>
2024-07-30 21:23:25 status unpacked libx11-data:all 2:1.8.4-2+deb12u2
2024-07-30 21:23:25 status half-configured libx11-data:all 2:1.8.4-2+deb12u2
2024-07-30 21:23:25 status installed libx11-data:all 2:1.8.4-2+deb12u2
2024-07-30 21:23:25 configure libdbus-1-3:amd64 1.14.10-1~deb12u1 <none>
2024-07-30 21:23:25 status unpacked libdbus-1-3:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 status half-configured libdbus-1-3:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 status installed libdbus-1-3:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 configure libproc2-0:amd64 2:4.0.2-3 <none>
2024-07-30 21:23:25 status unpacked libproc2-0:amd64 2:4.0.2-3
2024-07-30 21:23:25 status half-configured libproc2-0:amd64 2:4.0.2-3
2024-07-30 21:23:25 status installed libproc2-0:amd64 2:4.0.2-3
2024-07-30 21:23:25 configure systemd-timesyncd:amd64 252.26-1~deb12u2 <none>
2024-07-30 21:23:25 status unpacked systemd-timesyncd:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 status half-configured systemd-timesyncd:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 status installed systemd-timesyncd:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 configure libncursesw6:amd64 6.4-4 <none>
2024-07-30 21:23:25 status unpacked libncursesw6:amd64 6.4-4
2024-07-30 21:23:25 status half-configured libncursesw6:amd64 6.4-4
2024-07-30 21:23:25 status installed libncursesw6:amd64 6.4-4
2024-07-30 21:23:25 configure libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2024-07-30 21:23:25 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 configure sensible-utils:all 0.0.17+nmu1 <none>
